Date,Open,High,Low,Close,Adj Close,Volume
2016-03-04,200.009995,201.350006,199.029999,200.429993,184.292694,129293600
2016-03-07,199.339996,201.070007,199.250000,200.589996,184.439819,100219000
2016-03-08,199.320007,199.919998,198.210007,198.399994,182.426147,123974900
2016-03-09,199.360001,199.789993,198.429993,199.380005,183.327209,94801200
2016-03-10,199.960007,201.070007,197.380005,199.539993,183.474319,156838700
2016-03-11,201.259995,202.809998,199.520004,202.759995,186.435089,137964500
2016-03-14,202.160004,203.039993,201.770004,202.500000,186.196030,73612000
2016-03-15,201.360001,202.529999,201.050003,202.169998,185.892593,93169100
2016-03-16,201.600006,203.820007,201.550003,203.339996,186.968353,129303200
2016-03-17,203.240005,205.229996,202.770004,204.630005,188.154526,134278500
2016-03-18,204.169998,204.779999,203.800003,204.380005,188.893906,138372400
2016-03-21,204.070007,204.940002,203.800003,204.669998,189.161911,72926700
2016-03-22,203.759995,205.229996,203.570007,204.559998,189.060226,97471900
2016-03-23,204.110001,204.330002,203.009995,203.210007,187.812531,81052500
2016-03-24,202.000000,203.160004,201.740005,203.119995,187.729385,84360900
2016-03-28,203.610001,203.860001,202.710007,203.240005,187.840271,62408200
2016-03-29,202.759995,205.250000,202.399994,205.119995,189.577805,92922900
2016-03-30,206.300003,206.869995,205.589996,206.020004,190.409622,86365300
2016-03-31,205.910004,206.410004,205.330002,205.520004,189.947510,94584100
2016-04-01,204.350006,207.139999,203.979996,206.919998,191.241440,114423500
2016-04-04,206.830002,207.070007,205.889999,206.250000,190.622208,63497000
2016-04-05,204.669998,206.259995,203.889999,204.190002,188.718277,99662200
2016-04-06,204.190002,206.490005,203.979996,206.419998,190.779312,91839800
2016-04-07,205.139999,205.559998,203.089996,203.949997,188.496506,113859000
2016-04-08,205.339996,205.850006,203.869995,204.500000,189.004791,95040600
2016-04-11,205.250000,206.070007,203.910004,204.020004,188.561172,83757500
2016-04-12,204.220001,206.250000,203.699997,205.919998,190.317200,115350600
2016-04-13,207.000000,208.100006,206.839996,208.000000,192.239639,96336400
2016-04-14,208.070007,208.600006,207.600006,208.009995,192.248856,65212900
2016-04-15,208.009995,208.169998,207.399994,207.779999,192.036240,75761600
2016-04-18,207.779999,209.279999,207.000000,209.240005,193.385651,82531000
2016-04-19,209.740005,210.199997,208.940002,209.899994,193.995651,88316100
2016-04-20,209.949997,210.919998,209.389999,210.100006,194.180496,81100300
2016-04-21,210.119995,210.250000,208.649994,208.970001,193.136108,85695000
2016-04-22,208.550003,209.289993,207.910004,208.970001,193.136108,99251700
2016-04-25,208.259995,208.660004,207.539993,208.610001,192.803375,66166500
2016-04-26,209.039993,209.520004,208.360001,208.919998,193.089905,75864200
2016-04-27,208.470001,209.809998,208.050003,209.350006,193.487305,77329400
2016-04-28,208.460007,209.759995,206.960007,207.449997,191.731232,97216200
2016-04-29,206.720001,207.130005,205.029999,206.330002,190.696152,142424100
2016-05-02,206.919998,208.179993,206.410004,207.970001,192.211884,62188000
2016-05-03,206.520004,206.800003,205.279999,206.160004,190.539017,106422100
2016-05-04,204.990005,205.850006,204.419998,205.009995,189.476181,92243800
2016-05-05,205.559998,205.979996,204.470001,204.970001,189.439209,67619200
2016-05-06,204.059998,205.770004,203.880005,205.720001,190.132370,89315000
2016-05-09,205.570007,206.399994,205.360001,205.889999,190.289505,74374900
2016-05-10,206.720001,208.470001,206.639999,208.449997,192.655502,77472200
2016-05-11,207.910004,208.539993,206.500000,206.500000,190.853241,81727000
2016-05-12,207.289993,207.490005,205.369995,206.559998,190.908691,89586300
2016-05-13,206.210007,206.860001,204.380005,204.759995,189.245087,96474600
2016-05-16,204.960007,207.339996,204.889999,206.779999,191.112045,77486800
2016-05-17,206.460007,206.800003,204.229996,204.850006,189.328308,114924900
2016-05-18,204.440002,206.300003,203.630005,204.910004,189.383728,120062100
2016-05-19,204.059998,204.539993,202.779999,204.199997,188.727509,115430500
2016-05-20,204.919998,206.100006,204.860001,205.490005,189.919800,104990400
2016-05-23,205.509995,205.839996,204.990005,205.210007,189.661026,58682600
2016-05-24,206.169998,208.240005,206.139999,207.869995,192.119461,93537800
2016-05-25,208.669998,209.770004,207.869995,209.279999,193.422607,76621400
2016-05-26,209.440002,209.710007,208.970001,209.339996,193.478058,55280700
2016-05-27,209.529999,210.250000,209.470001,210.240005,194.309891,64211200
2016-05-31,210.559998,210.690002,209.179993,209.839996,193.940231,109879400
2016-06-01,209.119995,210.479996,208.889999,210.270004,194.337631,69936200
2016-06-02,209.800003,210.929993,209.240005,210.910004,194.929138,63044700
2016-06-03,210.250000,210.690002,208.860001,210.279999,194.346832,101757100
2016-06-06,210.699997,211.770004,210.509995,211.350006,195.335800,64887000
